,Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100,X50,X4s,X6s,Ct,St,BattingScore,Base Price,Selected,Price,
101,Krishmar Santokie,79,22,8,124,22,8.85,127,97.63,0,0,8,8,17,0,0.7097997222,3000000,0,3000000,
102,Thilan Thushara,41,25,8,147,33*,8.64,151,97.35,0,0,8,5,12,0,0.7054960412,3000000,0,3000000,
103,Lonwabo Tsotsobe,75,10,8,7,3*,3.5,16,43.75,0,0,0,0,20,0,0.1422793652,3000000,0,3000000,
104,Sudeep Tyagi,23,5,3,5,3*,2.5,7,71.42,0,0,0,0,5,0,0.3772130251,3000000,0,3000000,
105,Nicholas Winter,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,3000000,0,3000000,
106,Ronsford Beaton,23,5,3,11,8*,5.5,9,122.22,0,0,1,0,7,0,1.1055498342,3000000,0,3000000,
107,Pradeep Sangwan,58,24,14,62,14*,6.2,66,93.93,0,0,3,1,16,0,0.6545033531,3000000,0,3000000,
108,Andrew Tye,13,6,3,40,16*,13.33,51,78.43,0,0,4,1,2,0,0.4674628488,3000000,0,3000000,
109,Krishnakant Upadhyay,17,8,6,15,11*,7.5,19,78.94,0,0,0,1,5,0,0.4644212381,3000000,0,3000000,
110,Shadab Jakati,69,19,8,142,43,12.9,123,115.44,0,0,15,1,24,0,0.9965919501,3000000,0,3000000,
111,Ashish Hooda,21,4,2,4,2,2,8,50,0,0,0,0,4,0,0.1849479409,3000000,0,3000000,
112,Pankaj Jaiswal,11,4,0,35,20,8.75,20,175,0,0,2,3,4,0,2.2676480701,3000000,0,3000000,
113,Brainder Sran,10,3,2,17,9*,17,7,242.85,0,0,2,1,1,0,4.3773811401,3000000,0,3000000,
114,Jaskaran Singh,13,9,4,52,16,10.4,47,110.63,0,0,5,2,0,0,0.9119733406,3000000,0,3000000,
115,Ishwar Chaudhary,6,2,2,2,1*,NA,6,33.33,0,0,0,0,0,0,NA,2000000,0,2000000,
116,Arup Das,14,5,1,6,3,1.5,15,40,0,0,0,0,2,0,0.1183437853,2000000,0,2000000,
117,Javed Khan,4,2,1,0,0*,0,1,0,0,0,0,0,1,0,0,2000000,0,2000000,
118,Shelley Shaurya,4,1,1,10,10*,NA,4,250,0,0,1,1,0,0,NA,2000000,0,2000000,
119,Siddharth Trivedi,103,23,11,71,12,5.91,77,92.2,0,0,5,1,23,0,0.6304603571,2000000,0,2000000,
120,Manjeet Singh,6,5,3,72,37*,36,31,232.25,0,0,5,7,2,0,4.0797907444,2000000,0,2000000,
121,Puneet Datey,5,2,0,7,6,3.5,4,175,0,0,0,1,0,0,2.2628978846,1000000,0,1000000,
122,Gauresh Gawas,13,4,3,1,1*,1,6,16.66,0,0,0,0,0,0,0.0205743948,1000000,0,1000000,
123,M. Ravi Kiran,14,6,4,7,4*,3.5,20,35,0,0,0,0,1,0,0.0913845207,1000000,0,1000000,
124,Mohammed Mudhasir,1,1,1,0,0*,NA,0,NA,0,0,0,0,0,0,NA,1000000,0,1000000,
125,Anupam Sanklecha,1,1,1,3,3*,NA,5,60,0,0,0,0,0,0,NA,1000000,0,1000000,
126,Mehjoor Ali,5,4,3,2,2*,2,10,20,0,0,0,0,3,0,0.0298398435,1000000,0,1000000,
127,Kshemal Waingankar,6,4,3,41,28*,41,33,124.24,0,0,3,3,4,0,1.2642475171,1000000,0,1000000,
128,Imtiaz Ahmed,18,12,3,102,20*,11.33,65,156.92,0,0,9,6,1,0,1.8282262983,1000000,0,1000000,
129,Palani Amarnath,14,4,3,1,1,1,3,33.33,0,0,0,0,4,0,0.0821252247,1000000,0,1000000,
131,Cheepurapalli Stephen,9,3,3,6,5*,NA,8,75,0,0,0,0,2,0,NA,1000000,0,1000000,
132,Siddarth Kaul,36,14,13,42,8*,42,38,110.52,0,0,3,0,8,0,1.0324785572,1000000,0,1000000,
133,Amit Mishra,7,3,1,4,4*,2,5,80,0,0,1,0,2,0,0.4730058361,1000000,0,1000000,
134,Domnic Joseph,17,6,3,7,4,2.33,14,50,0,0,0,0,3,0,0.1850534809,1000000,0,1000000,
135,HS Sharath,9,4,0,8,5,2,18,44.44,0,0,0,0,1,0,0.146164535,1000000,0,1000000,
136,Rahul Shukla,23,11,6,42,17*,8.4,45,93.33,0,0,2,1,8,0,0.648577042,1000000,0,1000000,
137,Sreenath Aravind,46,13,10,57,14*,19,47,121.27,0,0,8,0,16,0,1.1128941657,1000000,0,1000000,
138,Basil Thampi,9,1,1,0,0*,NA,0,NA,0,0,0,0,2,0,NA,1000000,0,1000000,
139,Bhargav Bhatt,33,9,3,66,20,11,56,117.85,0,0,5,3,8,0,1.0347647102,1000000,0,1000000,
140,K C Cariappa,1,-,-,-,-,NA,-,NA,NA,NA,-,-,0,0,NA,1000000,0,1000000,
141,Sarabjit Ladda,11,3,1,5,5,2.5,12,41.66,0,0,1,0,1,0,0.1286515013,1000000,0,1000000,
142,Ali Murtaza,33,11,5,119,39*,19.83,138,86.23,0,0,10,1,11,0,0.5782460746,1000000,0,1000000,
143,Akshay Wakhare,10,3,1,42,25*,21,38,110.52,0,0,4,1,1,0,0.9347604559,1000000,0,1000000,
144,Harmeet Singh,29,8,3,22,14,4.4,20,110,0,0,3,0,6,0,0.8951480341,1000000,0,1000000,
145,Deepak Chahar,9,7,2,14,6,2.8,16,87.5,0,0,1,1,4,0,0.5660773421,1000000,0,1000000,
146,Aniket Choudhary,19,9,4,19,6*,3.8,27,70.37,0,0,3,0,1,0,0.3668215581,1000000,0,1000000,
147,Lukman Meriwala,15,2,1,4,4*,4,2,200,0,0,1,0,3,0,2.9556217268,1000000,0,1000000,
148,Umar Nazir,5,2,0,5,4,2.5,12,41.66,0,0,0,0,1,0,0.1286515013,1000000,0,1000000,
149,Prasanth Parameswaran,34,10,8,15,13*,7.5,20,75,0,0,2,0,5,0,0.4196227993,1000000,0,1000000,
150,Anand Rajan,31,4,3,11,8,11,6,183.33,0,0,0,1,16,0,2.4913971436,1000000,0,1000000,
151,Ankit Rajpoot,10,3,3,2,2*,NA,7,28.57,0,0,0,0,0,0,NA,1000000,0,1000000,
152,Vikas Tokas,13,4,3,8,6*,8,6,133.33,0,0,1,0,2,0,1.3177458731,1000000,0,1000000,
153,Udit Patel,18,12,4,72,21,9,62,116.12,0,0,5,4,5,0,1.0019136942,1000000,0,1000000,
154,Samar Quadri,4,2,2,2,1*,NA,3,66.66,0,0,0,0,0,0,NA,1000000,0,1000000,
155,Lakshan Sandakan,8,4,1,10,6*,3.33,17,58.82,0,0,1,0,1,0,0.2563627594,1000000,0,1000000,
156,Gurvinder Singh,8,3,1,12,12,6,12,100,0,0,0,1,3,0,0.7412689837,1000000,0,1000000,
157,Rajwinder Singh,16,3,2,9,9*,9,7,128.57,0,0,1,0,12,0,1.2269231391,1000000,0,1000000,
158,Bharatkumar Solanki,2,1,0,2,2,2,3,66.66,0,0,0,0,0,0,0.3285008987,1000000,0,1000000,
159,Prathamesh Dake,7,-,-,-,-,NA,-,NA,NA,NA,-,-,1,0,NA,1000000,0,1000000,
160,Ryan Duffield,7,1,0,1,1,1,3,33.33,0,0,0,0,2,0,0.0821252247,1000000,0,1000000,
161,Samad Fallah,26,7,5,9,5*,4.5,14,64.28,0,0,1,0,6,0,0.3066833051,1000000,0,1000000,
162,Matthew Wade,74,58,12,1008,80,21.91,833,121,0,5,69,35,41,7,1.1170772981,1000000,0,1000000,
